Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Brand,Model
Hyundai Grand i10 Asta,Hyderabad,2015,27000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Asta
Hyundai Accent GLS,Bangalore,2008,80000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,Hyundai,Accent GLS
Maruti Swift VDI,Hyderabad,2015,62000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift VDI
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,9200,Petrol,Manual,First,17.01,1591.0,121.3,5.0,Hyundai,Verna 1.6 SX VTVT
Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2019,24864,Diesel,Manual,First,20.5,1582.0,126.2,5.0,Hyundai,Creta 1.6 SX Option Diesel
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Kochi,2013,76718,Diesel,Automatic,First,16.96,1968.0,138.03,5.0,Volkswagen,Jetta 2013-2015 2.0L TDI Highline AT
Maruti Zen VXI BSII,Kochi,2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,Maruti,Zen VXI BSII
BMW X6 xDrive30d,Hyderabad,2011,76000,Diesel,Automatic,First,11.2,2993.0,241.0,4.0,BMW,X6 xDrive30d
Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2018,12000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,Ford,Endeavour 3.2 Titanium AT 4X4
Honda Brio S MT,Chennai,2013,35315,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,Honda,Brio S MT
Mahindra XUV500 W8 2WD,Jaipur,2014,70669,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Chevrolet Enjoy 1.4 LTZ 8,Pune,2016,67000,Petrol,Manual,First,13.7,1399.0,98.79,8.0,Chevrolet,Enjoy 1.4 LTZ 8
Maruti Alto 800 2016-2019 LXI,Mumbai,2018,11000,Petrol,Manual,First,24.7,796.0,47.3,5.0,Maruti,Alto 800 2016-2019 LXI
Toyota Innova 2.5 G4 Diesel 7-seater,Hyderabad,2007,199000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,Toyota,Innova 2.5 G4 Diesel 7-seater
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,Honda,Jazz 1.2 V AT i VTEC Privilege
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,Hyundai,Verna CRDi 1.6 SX Option
Renault Duster 85PS Diesel RxL Option,Mumbai,2015,67000,Diesel,Manual,Second,19.87,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxL Option
Tata New Safari 4X4 EX,Chennai,2007,120203,Diesel,Manual,Second,13.93,2179.0,138.0,7.0,Tata,New Safari 4X4 EX
BMW 5 Series 520d Sedan,Bangalore,2009,150000,Diesel,Automatic,Second,18.48,,,,BMW,5 Series 520d Sedan
Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,Honda,Jazz VX
Hyundai i10 Magna 1.1,Kochi,2015,31965,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10 Magna 1.1
Hyundai i20 Magna,Chennai,2010,95000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,Hyundai,i20 Magna
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,Jeep,Compass 2.0 Limited 4X4
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198.0,73.75,5.0,Volkswagen,Ameo 1.2 MPI Highline
Mahindra XUV500 W8 4WD,Bangalore,2013,52910,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 4WD
Honda City ZX GXi,Kolkata,2008,40000,Petrol,Manual,First,17.7,1497.0,78.0,5.0,Honda,City ZX GXi
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,Mercedes-Benz,E-Class 2015-2017 E350 Edition E
Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo Diesel ZXI
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,Hyundai,EON 1.0 Kappa Magna Plus Optional
Maruti Vitara Brezza LDi Option,Pune,2016,31001,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza LDi Option
BMW 3 Series 320d,Bangalore,2011,60000,Diesel,Automatic,First,13.2,1995.0,170.0,5.0,BMW,3 Series 320d
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto K10 VXI
Toyota Innova 2.5 G (Diesel) 8 Seater,Coimbatore,2010,124313,Diesel,Manual,First,12.99,2494.0,100.6,8.0,Toyota,Innova 2.5 G (Diesel) 8 Seater
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,Mercedes-Benz,S Class 2005 2013 320 CDI
Toyota Corolla Altis VL,Delhi,2008,89000,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,Toyota,Corolla Altis VL
Honda City 1.5 S MT,Coimbatore,2012,26671,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,Honda,City 1.5 S MT
Tata Indigo eCS eLX BS IV,Pune,2013,155550,Diesel,Manual,First,25.0,1396.0,69.01,5.0,Tata,Indigo eCS eLX BS IV
Hyundai i10 Magna,Mumbai,2008,38235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna
Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,First,15.6,1196.0,70.02,5.0,Ford,Figo Petrol ZXI
Honda City 1.5 GXI,Mumbai,2005,81000,Petrol,Manual,Second,12.8,1493.0,100.0,5.0,Honda,City 1.5 GXI
Ford Figo Petrol ZXI,Mumbai,2012,23152,Petrol,Manual,First,15.6,1196.0,70.02,5.0,Ford,Figo Petrol ZXI
Maruti Swift 1.3 VXi,Delhi,2006,63000,Petrol,Manual,First,16.1,,,,Maruti,Swift 1.3 VXi
Maruti Swift Dzire ZDI,Jaipur,2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,Maruti,Swift Dzire ZDI
Volkswagen Vento Diesel Highline,Chennai,2013,150000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Highline
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Kolkata,2012,67000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,Volkswagen,Jetta 2012-2014 2.0L TDI Comfortline
Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,Diesel,Automatic,First,16.1,1950.0,194.0,5.0,Mercedes-Benz,E-Class E 220 d
Mahindra XUV500 W10 2WD,Jaipur,2017,40000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500 W10 2WD
Maruti SX4 ZXI MT BSIV,Pune,2008,85000,Petrol,Manual,First,16.51,1586.0,103.2,5.0,Maruti,SX4 ZXI MT BSIV
Toyota Corolla Altis Diesel D4DG,Kolkata,2011,45000,Diesel,Manual,First,21.43,1364.0,87.2,5.0,Toyota,Corolla Altis Diesel D4DG
Audi A4 2.0 TDI Multitronic,Delhi,2009,88000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,Audi,A4 2.0 TDI Multitronic
Maruti Vitara Brezza VDi Option,Kochi,2018,51921,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi Option
Maruti Baleno Delta 1.3,Hyderabad,2018,17810,Diesel,Manual,First,27.39,1248.0,74.0,5.0,Maruti,Baleno Delta 1.3
Toyota Innova 2.5 V Diesel 7-seater,Chennai,2011,248000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,Toyota,Innova 2.5 V Diesel 7-seater
BMW 3 Series 320i,Pune,2009,40000,Petrol,Automatic,Second,12.05,1995.0,154.0,5.0,BMW,3 Series 320i
Fiat Linea Emotion,Mumbai,2011,48000,Petrol,Manual,First,16.0,1368.0,90.0,5.0,Fiat,Linea Emotion
Ford Freestyle Titanium Petrol,Mumbai,2007,1261,Petrol,Manual,First,19.0,1194.0,94.68,5.0,Ford,Freestyle Titanium Petrol
Maruti Celerio VXI,Delhi,2014,48000,Petrol,Manual,First,23.1,998.0,67.04,5.0,Maruti,Celerio VXI
Mercedes-Benz S Class 2005 2013 S 300 L,Pune,2013,80000,Petrol,Automatic,First,13.0,2987.0,210.0,5.0,Mercedes-Benz,S Class 2005 2013 S 300 L
Hyundai i20 Sportz 1.2,Mumbai,2016,24001,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Sportz 1.2
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,Ford,Ikon 1.3 LXi NXt
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,Maruti,Zen Estilo VXI BSIII
Toyota Innova 2.5 V Diesel 7-seater,Bangalore,2009,140000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,Toyota,Innova 2.5 V Diesel 7-seater
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,Ford,EcoSport 1.5 Ti VCT MT Titanium BE
BMW 5 Series 520d Sedan,Pune,2012,95000,Diesel,Automatic,Second,18.48,,,,BMW,5 Series 520d Sedan
Audi A4 35 TDI Technology,Hyderabad,2015,59000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,Audi,A4 35 TDI Technology
Toyota Etios Liva V,Pune,2012,24500,Petrol,Manual,Second,18.3,,,,Toyota,Etios Liva V
Honda City ZX GXi,Mumbai,2007,63000,Petrol,Manual,Second,17.7,1497.0,78.0,5.0,Honda,City ZX GXi
Hyundai Verna VTVT 1.6 SX,Kolkata,2018,5000,Petrol,Manual,First,17.0,1591.0,121.3,5.0,Hyundai,Verna VTVT 1.6 SX
Renault KWID AMT RXL,Jaipur,2017,33000,Petrol,Automatic,First,24.04,999.0,67.0,5.0,Renault,KWID AMT RXL
Honda City i VTEC SV,Pune,2016,27300,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City i VTEC SV
Maruti Baleno Vxi,Pune,2005,70000,Petrol,Manual,First,,1590.0,,5.0,Maruti,Baleno Vxi
Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Sportz
Maruti A-Star Vxi,Hyderabad,2009,66149,Petrol,Manual,First,19.0,998.0,66.1,5.0,Maruti,A-Star Vxi
Volkswagen Vento 1.5 TDI Highline,Bangalore,2014,58000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,Volkswagen,Vento 1.5 TDI Highline
Mitsubishi Pajero Sport 4X2 AT,Coimbatore,2016,63961,Diesel,Automatic,First,13.5,2477.0,175.56,7.0,Mitsubishi,Pajero Sport 4X2 AT
Maruti Ciaz ZXi,Kolkata,2015,25470,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz ZXi
Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,Honda,Jazz 1.5 S i DTEC
Hyundai Accent GLX,Pune,2009,60000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,Hyundai,Accent GLX
Maruti A-Star Zxi,Chennai,2009,60000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,Maruti,A-Star Zxi
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo Diesel Highline 1.2L
Maruti Swift VXi BSIV,Kochi,2016,19148,Petrol,Manual,First,16.1,1197.0,85.0,5.0,Maruti,Swift VXi BSIV
Toyota Etios GD,Kolkata,2013,60000,Diesel,Manual,First,23.59,1364.0,,5.0,Toyota,Etios GD
Hyundai Grand i10 SportZ Edition,Kochi,2018,40322,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 SportZ Edition
Maruti Vitara Brezza ZDi,Coimbatore,2017,58829,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi
Mahindra XUV500 W6 2WD,Pune,2012,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W6 2WD
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,BMW,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater
Skoda Rapid 1.6 TDI Ambition,Pune,2012,96987,Diesel,Manual,First,20.5,1598.0,103.5,5.0,Skoda,Rapid 1.6 TDI Ambition
Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift LDI
Chevrolet Tavera LT 9 Str BS IV,Kolkata,2012,67132,Diesel,Manual,First,13.58,2499.0,78.0,9.0,Chevrolet,Tavera LT 9 Str BS IV
Hyundai Creta 1.6 SX Plus Diesel,Chennai,2016,62000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 SX Plus Diesel
Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498.0,99.0,5.0,Ford,Figo 1.5D Titanium Plus MT
Hyundai Santro GLS I - Euro I,Coimbatore,2012,50243,Petrol,Manual,First,,1086.0,,5.0,Hyundai,Santro GLS I - Euro I
Toyota Innova 2.5 GX (Diesel) 7 Seater,Hyderabad,2009,147000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova 2.5 GX (Diesel) 7 Seater
Maruti Vitara Brezza ZDi,Kochi,2017,21380,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi
Hyundai i10 Era,Jaipur,2009,48725,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10 Era
Mahindra XUV500 W8 4WD,Hyderabad,2013,49000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500 W8 4WD
Land Rover Range Rover 2.2L Dynamic,Pune,2015,52000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,Land_Rover,Rover Range Rover 2.2L Dynamic
Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,Volkswagen,Polo GT TSI
Hyundai Creta 1.4 CRDi S Plus,Bangalore,2015,48000,Diesel,Manual,First,21.38,1396.0,88.7,5.0,Hyundai,Creta 1.4 CRDi S Plus
Fiat Punto EVO 1.2 Emotion,Hyderabad,2010,59270,Petrol,Manual,First,15.7,1172.0,67.0,5.0,Fiat,Punto EVO 1.2 Emotion
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,Ford,Fiesta 1.4 TDCi EXI Limited Edition
Hyundai Grand i10 AT Asta,Chennai,2015,15000,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 AT Asta
Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Magna 1.2
Renault Duster 85PS Diesel RxE,Pune,2016,54000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxE
Honda Civic 2006-2010 1.8 S MT,Hyderabad,2008,69972,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic 2006-2010 1.8 S MT
Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77,1248.0,88.76,7.0,Maruti,Ertiga VDI
Honda Amaze S i-Vtech,Bangalore,2013,44000,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,Honda,Amaze S i-Vtech
Ford Ikon 1.3 Flair,Kochi,2009,66484,Petrol,Manual,First,13.8,1299.0,70.0,5.0,Ford,Ikon 1.3 Flair
BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993.0,306.0,4.0,BMW,X6 xDrive 40d
Maruti SX4 VDI,Delhi,2011,75000,Diesel,Manual,First,21.5,1248.0,88.8,5.0,Maruti,SX4 VDI
Honda City ZX VTEC Plus,Coimbatore,2009,76677,Petrol,Manual,Third,16.9,1497.0,100.0,5.0,Honda,City ZX VTEC Plus
Maruti Baleno Zeta 1.3,Delhi,2015,54000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,Maruti,Baleno Zeta 1.3
Ford EcoSport 1.5 Petrol Titanium,Hyderabad,2017,21800,Petrol,Manual,First,17.0,1497.0,121.36,5.0,Ford,EcoSport 1.5 Petrol Titanium
Maruti Ertiga ZXI,Mumbai,2014,13361,Petrol,Manual,First,16.02,1373.0,93.7,7.0,Maruti,Ertiga ZXI
Maruti Swift Dzire Tour LDI,Kolkata,2013,160000,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,Maruti,Swift Dzire Tour LDI
Maruti Celerio VXI AMT,Kolkata,2016,30000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,Maruti,Celerio VXI AMT
Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxL Optional
Maruti Baleno Alpha,Kochi,2017,27610,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno Alpha
Maruti Swift DDiS VDI,Coimbatore,2019,41075,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift DDiS VDI
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5.0,Skoda,Rapid 1.5 TDI Style
Nissan Teana XL,Mumbai,2014,23000,Petrol,Automatic,First,11.07,2496.0,179.5,5.0,Nissan,Teana XL
Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,48000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3 2012-2015 35 TDI Quattro Premium
Hyundai Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna 1.6 SX
Maruti Alto LX,Pune,2006,93500,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto LX
Toyota Fortuner 4x4 MT,Hyderabad,2012,80000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,Toyota,Fortuner 4x4 MT
Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,Maruti,Ritz VDi
Toyota Etios G,Kochi,2013,56344,Petrol,Manual,First,17.6,1496.0,88.73,5.0,Toyota,Etios G
Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,Maruti,800 AC
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5.0,Mercedes-Benz,E-Class 200 Kompressor Elegance
Toyota Etios Liva VD,Coimbatore,2016,29108,Diesel,Manual,First,23.59,1364.0,67.04,5.0,Toyota,Etios Liva VD
Honda City i VTEC CVT VX,Pune,2014,82329,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City i VTEC CVT VX
Land Rover Discovery Sport TD4 HSE,Delhi,2016,77000,Diesel,Automatic,First,12.63,2179.0,147.5,5.0,Land_Rover,Rover Discovery Sport TD4 HSE
Hyundai Elantra CRDi S,Ahmedabad,2015,65000,Diesel,Manual,First,22.7,1582.0,126.2,5.0,Hyundai,Elantra CRDi S
Maruti Dzire VDI,Kolkata,2015,28193,Diesel,Manual,First,28.4,1248.0,73.75,5.0,Maruti,Dzire VDI
Honda Brio V MT,Chennai,2013,53226,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio V MT
Ford Ecosport 1.5 DV5 MT Trend,Hyderabad,2014,55000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Trend
Porsche Cayman 2009-2012 S,Hyderabad,2010,10000,Petrol,Manual,First,9.0,3436.0,,2.0,Porsche,Cayman 2009-2012 S
Maruti Baleno Zeta 1.2,Delhi,2018,22900,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno Zeta 1.2
Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Highline
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2013,40714,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,BMW,5 Series 2013-2017 520d Luxury Line
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,Mitsubishi,Pajero Sport 4X4
Hyundai Verna 1.4 CX,Kolkata,2012,50000,Diesel,Manual,First,23.5,1396.0,88.7,5.0,Hyundai,Verna 1.4 CX
Tata Sumo Delux,Hyderabad,2000,158000,Diesel,Manual,Second,14.07,2956.0,83.1,7.0,Tata,Sumo Delux
Mahindra Scorpio S10 7 Seater,Kochi,2018,27395,Diesel,Manual,First,15.4,2179.0,120.0,7.0,Mahindra,Scorpio S10 7 Seater
Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2012,107023,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo Diesel Comfortline 1.2L
Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,1000,Petrol,Automatic,First,20.3,1199.0,84.0,5.0,Tata,Tigor 1.2 Revotron XTA
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2013,44000,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,Hyundai,Verna 1.6 SX VTVT (O) AT
Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift DDiS ZDI Plus
Hyundai Verna 1.6 SX VTVT (O),Kochi,2017,19387,Petrol,Manual,First,17.1,1591.0,121.3,5.0,Hyundai,Verna 1.6 SX VTVT (O)
Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto K10 VXI
Maruti Alto 800 VXI,Pune,2017,38000,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto 800 VXI
Honda City 1.5 S MT,Jaipur,2011,52000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City 1.5 S MT
Ford Fiesta 1.6 ZXi Duratec,Pune,2010,85000,Petrol,Manual,First,15.3,1596.0,101.0,5.0,Ford,Fiesta 1.6 ZXi Duratec
Hyundai i10 Magna,Delhi,2013,63265,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna
Tata Hexa XTA,Coimbatore,2019,14233,Diesel,Automatic,First,17.6,2179.0,153.86,7.0,Tata,Hexa XTA
Hyundai i20 Magna 1.2,Bangalore,2016,20000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Magna 1.2
Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015,59000,Diesel,Automatic,First,12.55,2982.0,168.7,7.0,Toyota,Fortuner 4x2 AT TRD Sportivo
Honda City 1.5 V MT,Coimbatore,2011,50036,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City 1.5 V MT
Maruti Swift Dzire VXi,Mumbai,2011,58075,Petrol,Manual,First,17.5,1298.0,85.8,5.0,Maruti,Swift Dzire VXi
Hyundai Verna 1.6 SX VTVT,Bangalore,2014,45000,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,Hyundai,Verna 1.6 SX VTVT
BMW X5 X5 M,Pune,2015,69002,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,BMW,X5 X5 M
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Magna
Volkswagen Polo 1.2 MPI Comfortline,Bangalore,2014,30000,Petrol,Manual,Second,16.47,1198.0,74.0,5.0,Volkswagen,Polo 1.2 MPI Comfortline
Maruti Ertiga VXI,Bangalore,2014,42000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,Maruti,Ertiga VXI
Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,20000,CNG,Manual,First,15.1,1196.0,73.0,5.0,Maruti,Eeco 5 STR With AC Plus HTR CNG
Renault Duster 110PS Diesel RxL,Mumbai,2014,58003,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster 110PS Diesel RxL
Jaguar XF 2.2 Litre Luxury,Kolkata,2014,18000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,Jaguar,XF 2.2 Litre Luxury
Audi A4 2.0 TDI,Bangalore,2014,21143,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,Audi,A4 2.0 TDI
Volvo S60 D3,Chennai,2012,20000,Diesel,Automatic,First,18.5,1985.0,163.0,5.0,Volvo,S60 D3
